frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
639,131.813986000,172.16.249.68,175.155.120.140,103,53,12106,1,0,ba8Lb8C4ffDKPkQbMlRiAik48CTnU.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQbMlRiAik48CTnU.dns2tcp.leaflove.cn,16,30
640,131.972289000,175.155.120.140,172.16.249.68,98,28706,53,0,,ba8Lb8C4ffDKPkQgEEMWjQq34JuKI.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
641,131.972683000,172.16.249.68,175.155.120.140,103,53,28706,1,0,ba8Lb8C4ffDKPkQgEEMWjQq34JuKI.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQgEEMWjQq34JuKI.dns2tcp.leaflove.cn,16,30
642,132.124811000,175.155.120.141,172.16.249.68,98,40952,53,0,,ba8Lb8C4ffDKPkQn9pdS-NeS7bgm0.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
643,132.125181000,172.16.249.68,175.155.120.141,103,53,40952,1,0,ba8Lb8C4ffDKPkQn9pdS-NeS7bgm0.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQn9pdS-NeS7bgm0.dns2tcp.leaflove.cn,16,30
644,132.496530000,175.155.120.140,172.16.249.68,98,54328,53,0,,ba8Lb8C4ffDKPkQprHKqs4cG2cBR6.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
645,132.496926000,172.16.249.68,175.155.120.140,103,53,54328,1,0,ba8Lb8C4ffDKPkQprHKqs4cG2cBR6.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQprHKqs4cG2cBR6.dns2tcp.leaflove.cn,16,30
646,133.313449000,175.155.120.140,172.16.249.68,98,11960,53,0,,ba8Lb8C4ffDKPkQgjfs5CKdA7aART.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
647,133.313861000,172.16.249.68,175.155.120.140,103,53,11960,1,0,ba8Lb8C4ffDKPkQgjfs5CKdA7aART.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQgjfs5CKdA7aART.dns2tcp.leaflove.cn,16,30
648,134.043962000,182.140.186.142,172.16.249.68,98,18565,53,0,,ba8Lb8C4ffDKPkQj15PpkihcZAS1R.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
649,134.044316000,172.16.249.68,182.140.186.142,103,53,18565,1,0,ba8Lb8C4ffDKPkQj15PpkihcZAS1R.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQj15PpkihcZAS1R.dns2tcp.leaflove.cn,16,30
650,134.696226000,59.37.116.141,172.16.249.68,98,35816,53,0,,ba8Lb8C4ffDKPkQoqbC9dulwJ9cv4.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
651,134.701167000,172.16.249.68,59.37.116.141,103,53,35816,1,0,ba8Lb8C4ffDKPkQoqbC9dulwJ9cv4.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQoqbC9dulwJ9cv4.dns2tcp.leaflove.cn,16,30
652,135.500453000,182.140.186.142,172.16.249.68,98,11926,53,0,,ba8Lb8C4ffDKPkQiI8BNila-AMMDb.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
653,135.500976000,172.16.249.68,182.140.186.142,103,53,11926,1,0,ba8Lb8C4ffDKPkQiI8BNila-AMMDb.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQiI8BNila-AMMDb.dns2tcp.leaflove.cn,16,30
654,136.150396000,59.37.116.141,172.16.249.68,98,9812,53,0,,ba8Lb8C4ffDKPkQbrwKI3KakQgItx.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
655,136.150735000,172.16.249.68,59.37.116.141,103,53,9812,1,0,ba8Lb8C4ffDKPkQbrwKI3KakQgItx.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQbrwKI3KakQgItx.dns2tcp.leaflove.cn,16,30
657,136.926271000,175.155.120.140,172.16.249.68,98,40938,53,0,,ba8Lb8C4ffDKPkQbIYQ3P8cCXtDLe.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
658,136.926612000,172.16.249.68,175.155.120.140,103,53,40938,1,0,ba8Lb8C4ffDKPkQbIYQ3P8cCXtDLe.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQbIYQ3P8cCXtDLe.dns2tcp.leaflove.cn,16,30
659,137.615909000,182.140.186.142,172.16.249.68,98,61739,53,0,,ba8Lb8C4ffDKPkQinTWUepfKSR0Dh.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
660,137.616280000,172.16.249.68,182.140.186.142,103,53,61739,1,0,ba8Lb8C4ffDKPkQinTWUepfKSR0Dh.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQinTWUepfKSR0Dh.dns2tcp.leaflove.cn,16,30
661,138.361879000,175.155.120.141,172.16.249.68,98,36741,53,0,,ba8Lb8C4ffDKPkQlGLqn2Al-2Tn0r.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
662,138.362228000,172.16.249.68,175.155.120.141,103,53,36741,1,0,ba8Lb8C4ffDKPkQlGLqn2Al-2Tn0r.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQlGLqn2Al-2Tn0r.dns2tcp.leaflove.cn,16,30
663,139.142807000,59.37.116.141,172.16.249.68,98,12199,53,0,,ba8Lb8C4ffDKPkQf8lHjKzkMo0OVj.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
664,139.143199000,172.16.249.68,59.37.116.141,103,53,12199,1,0,ba8Lb8C4ffDKPkQf8lHjKzkMo0OVj.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQf8lHjKzkMo0OVj.dns2tcp.leaflove.cn,16,30
665,139.883423000,59.37.116.141,172.16.249.68,98,37175,53,0,,ba8Lb8C4ffDKPkQlloeJswmJq0MH2.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
666,139.883789000,172.16.249.68,59.37.116.141,103,53,37175,1,0,ba8Lb8C4ffDKPkQlloeJswmJq0MH2.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQlloeJswmJq0MH2.dns2tcp.leaflove.cn,16,30
667,140.627042000,175.155.120.141,172.16.249.68,98,43359,53,0,,ba8Lb8C4ffDKPkQdeRDZn-pQGIksL.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
668,140.627462000,172.16.249.68,175.155.120.141,103,53,43359,1,0,ba8Lb8C4ffDKPkQdeRDZn-pQGIksL.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQdeRDZn-pQGIksL.dns2tcp.leaflove.cn,16,30
671,141.338688000,59.37.116.141,172.16.249.68,98,30329,53,0,,ba8Lb8C4ffDKPkQg-FWd3UeTlLm5W.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
