frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
1895,31987.975928000,192.168.1.247,192.168.1.1,46,51682,53,0,,pic.rmb.bdstatic.com,20,4,1,0x00000001,1,0,0,0,,,
1896,31987.975976000,192.168.1.247,192.168.1.1,40,56319,53,0,,dss1.baidu.com,14,3,1,0x00000001,1,0,0,0,,,
1897,31987.980880000,192.168.1.1,192.168.1.247,142,53,51682,1,0,pic.rmb.bdstatic.com,20,4,1,0x00000001,1,3,0,0,pic.rmb.bdstatic.com,32,4487
1898,31987.982208000,192.168.1.1,192.168.1.247,89,53,56319,1,0,dss1.baidu.com,14,3,1,0x00000001,1,2,0,0,dss1.baidu.com,21,502
1899,31988.033989000,192.168.1.247,192.168.1.1,39,61077,53,0,,sp0.baidu.com,13,3,1,0x00000001,1,0,0,0,,,
1900,31988.038665000,192.168.1.1,192.168.1.247,98,53,61077,1,0,sp0.baidu.com,13,3,1,0x00000001,1,3,0,0,sp0.baidu.com,15,122
1901,31989.481973000,192.168.1.247,192.168.1.1,39,62187,53,0,,sp2.baidu.com,13,3,1,0x00000001,1,0,0,0,,,
1902,31989.485809000,192.168.1.1,192.168.1.247,98,53,62187,1,0,sp2.baidu.com,13,3,1,0x00000001,1,3,0,0,sp2.baidu.com,15,109
1903,31990.065168000,192.168.1.247,192.168.1.1,40,56746,53,0,,gss0.baidu.com,14,3,1,0x00000001,1,0,0,0,,,
1904,31990.065169000,192.168.1.247,192.168.1.1,41,60117,53,0,,baike.baidu.com,15,3,1,0x00000001,1,0,0,0,,,
1905,31990.065222000,192.168.1.247,192.168.1.1,41,51920,53,0,,bkssl.bdimg.com,15,3,1,0x00000001,1,0,0,0,,,
1906,31990.068831000,192.168.1.1,192.168.1.247,87,53,56746,1,0,gss0.baidu.com,14,3,1,0x00000001,1,2,0,0,gss0.baidu.com,19,34
1907,31990.071752000,192.168.1.1,192.168.1.247,116,53,60117,1,0,baike.baidu.com,15,3,1,0x00000001,1,4,0,0,baike.baidu.com,5,445
1908,31990.072455000,192.168.1.1,192.168.1.247,85,53,51920,1,0,bkssl.bdimg.com,15,3,1,0x00000001,1,2,0,0,bkssl.bdimg.com,16,5521
1909,31990.452623000,192.168.1.247,192.168.1.1,43,52213,53,0,,gss1.bdstatic.com,17,3,1,0x00000001,1,0,0,0,,,
1910,31990.467108000,192.168.1.1,192.168.1.247,90,53,52213,1,0,gss1.bdstatic.com,17,3,1,0x00000001,1,2,0,0,gss1.bdstatic.com,19,328
1911,31990.665660000,192.168.1.247,192.168.1.1,42,52729,53,0,,ss0.bdstatic.com,16,3,1,0x00000001,1,0,0,0,,,
1912,31990.666289000,192.168.1.247,192.168.1.1,42,63773,53,0,,dlswbr.baidu.com,16,3,1,0x00000001,1,0,0,0,,,
1913,31990.668243000,192.168.1.247,192.168.1.1,42,56625,53,0,,fex.bdstatic.com,16,3,1,0x00000001,1,0,0,0,,,
1914,31990.670991000,192.168.1.1,192.168.1.247,92,53,52729,1,0,ss0.bdstatic.com,16,3,1,0x00000001,1,2,0,0,ss0.bdstatic.com,22,8
1915,31990.672974000,192.168.1.1,192.168.1.247,128,53,63773,1,0,dlswbr.baidu.com,16,3,1,0x00000001,1,3,0,0,dlswbr.baidu.com,28,4856
1916,31990.676019000,192.168.1.1,192.168.1.247,95,53,56625,1,0,fex.bdstatic.com,16,3,1,0x00000001,1,2,0,0,fex.bdstatic.com,25,5449
1917,31990.693887000,192.168.1.247,192.168.1.1,38,51333,53,0,,hm.baidu.com,12,3,1,0x00000001,1,0,0,0,,,
1918,31990.703396000,192.168.1.1,192.168.1.247,80,53,51333,1,0,hm.baidu.com,12,3,1,0x00000001,1,2,0,0,hm.baidu.com,14,5101
1919,31991.502909000,192.168.1.247,192.168.1.1,45,62843,53,0,,clients1.google.com,19,3,1,0x00000001,1,0,0,0,,,
1920,31991.507477000,192.168.1.1,192.168.1.247,85,53,62843,1,0,clients1.google.com,19,3,1,0x00000001,1,2,0,0,clients1.google.com,12,14
1921,31991.623688000,192.168.1.247,192.168.1.1,40,55722,53,0,,gsp0.baidu.com,14,3,1,0x00000001,1,0,0,0,,,
1922,31991.628121000,192.168.1.1,192.168.1.247,90,53,55722,1,0,gsp0.baidu.com,14,3,1,0x00000001,1,2,0,0,gsp0.baidu.com,22,57500
1923,31991.944364000,192.168.1.247,192.168.1.1,43,59154,53,0,,gss3.bdstatic.com,17,3,1,0x00000001,1,0,0,0,,,
1924,31991.947251000,192.168.1.247,192.168.1.1,43,49490,53,0,,gss0.bdstatic.com,17,3,1,0x00000001,1,0,0,0,,,
1925,31991.949148000,192.168.1.1,192.168.1.247,90,53,59154,1,0,gss3.bdstatic.com,17,3,1,0x00000001,1,2,0,0,gss3.bdstatic.com,19,132
1926,31991.954897000,192.168.1.1,192.168.1.247,90,53,49490,1,0,gss0.bdstatic.com,17,3,1,0x00000001,1,2,0,0,gss0.bdstatic.com,19,54
1927,31991.960944000,192.168.1.247,192.168.1.1,40,55641,53,0,,miao.baidu.com,14,3,1,0x00000001,1,0,0,0,,,
1928,31991.975402000,192.168.1.1,192.168.1.247,88,53,55641,1,0,miao.baidu.com,14,3,1,0x00000001,1,2,0,0,miao.baidu.com,20,548
1929,31992.225954000,192.168.1.247,192.168.1.1,43,54851,53,0,,gss2.bdstatic.com,17,3,1,0x00000001,1,0,0,0,,,
1930,31992.233103000,192.168.1.1,192.168.1.247,90,53,54851,1,0,gss2.bdstatic.com,17,3,1,0x00000001,1,2,0,0,gss2.bdstatic.com,19,463
1931,31993.141543000,192.168.1.247,192.168.1.1,44,50585,53,0,,sdk.whale.xoyo.com,18,4,1,0x00000001,1,0,0,0,,,
1932,31993.145052000,192.168.1.1,192.168.1.247,60,53,50585,1,0,sdk.whale.xoyo.com,18,4,1,0x00000001,1,1,0,0,sdk.whale.xoyo.com,4,269
1933,31994.498709000,192.168.1.247,192.168.1.1,55,52058,53,0,,v10.events.data.microsoft.com,29,5,1,0x00000001,1,0,0,0,,,
1934,31994.502731000,192.168.1.1,192.168.1.247,166,53,52058,1,0,v10.events.data.microsoft.com,29,5,1,0x00000001,1,3,0,0,v10.events.data.microsoft.com,47,3046
1935,31994.506422000,192.168.1.247,192.168.1.1,37,62679,53,0,,tajs.qq.com,11,3,1,0x00000001,1,0,0,0,,,
1936,31994.509936000,192.168.1.1,192.168.1.247,53,53,62679,1,0,tajs.qq.com,11,3,1,0x00000001,1,1,0,0,tajs.qq.com,4,205
1937,32006.979085000,192.168.1.247,192.168.1.1,43,53949,53,0,,reports.baidu.com,17,3,1,0x00000001,1,0,0,0,,,
1938,32006.983471000,192.168.1.1,192.168.1.247,186,53,53949,1,0,reports.baidu.com,17,3,1,0x00000001,1,8,0,0,reports.baidu.com,19,117
1939,32013.819187000,192.168.1.247,192.168.1.1,56,53857,53,0,,cambrian-images.cdn.bcebos.com,30,4,1,0x00000001,1,0,0,0,,,
1940,32013.821960000,192.168.1.1,192.168.1.247,162,53,53857,1,0,cambrian-images.cdn.bcebos.com,30,4,1,0x00000001,1,3,0,0,cambrian-images.cdn.bcebos.com,42,3431
1941,32015.819497000,192.168.1.247,192.168.1.1,45,58903,53,0,,clients4.google.com,19,3,1,0x00000001,1,0,0,0,,,
1942,32015.822859000,192.168.1.1,192.168.1.247,85,53,58903,1,0,clients4.google.com,19,3,1,0x00000001,1,2,0,0,clients4.google.com,12,90
1943,32021.465512000,192.168.1.247,192.168.1.1,43,56976,53,0,,dss1.bdstatic.com,17,3,1,0x00000001,1,0,0,0,,,
1944,32021.465628000,192.168.1.247,192.168.1.1,42,63872,53,0,,ss1.bdstatic.com,16,3,1,0x00000001,1,0,0,0,,,
1945,32021.469536000,192.168.1.1,192.168.1.247,92,53,56976,1,0,dss1.bdstatic.com,17,3,1,0x00000001,1,2,0,0,dss1.bdstatic.com,21,6490
1946,32021.470345000,192.168.1.1,192.168.1.247,92,53,63872,1,0,ss1.bdstatic.com,16,3,1,0x00000001,1,2,0,0,ss1.bdstatic.com,22,514
1947,32021.921445000,192.168.1.247,192.168.1.1,38,50394,53,0,,news.163.com,12,3,1,0x00000001,1,0,0,0,,,
1948,32021.927311000,192.168.1.1,192.168.1.247,295,53,50394,1,0,news.163.com,12,3,1,0x00000001,1,13,0,0,news.163.com,24,44
1949,32022.212271000,192.168.1.247,192.168.1.1,43,56893,53,0,,static.ws.126.net,17,4,1,0x00000001,1,0,0,0,,,
1950,32022.215607000,192.168.1.1,192.168.1.247,312,53,56893,1,0,static.ws.126.net,17,4,1,0x00000001,1,13,0,0,static.ws.126.net,32,54
1951,32022.216179000,192.168.1.247,192.168.1.1,48,59261,53,0,,urswebzj.nosdn.127.net,22,4,1,0x00000001,1,0,0,0,,,
1952,32022.220130000,192.168.1.1,192.168.1.247,181,53,59261,1,0,urswebzj.nosdn.127.net,22,4,1,0x00000001,1,5,0,0,urswebzj.nosdn.127.net,37,39
1953,32022.550010000,192.168.1.247,192.168.1.1,46,59159,53,0,,acstatic-dun.126.net,20,3,1,0x00000001,1,0,0,0,,,
1954,32022.554344000,192.168.1.1,192.168.1.247,139,53,59159,1,0,acstatic-dun.126.net,20,3,1,0x00000001,1,4,0,0,acstatic-dun.126.net,33,472
1955,32022.566511000,192.168.1.247,192.168.1.1,48,65375,53,0,,img2.cache.netease.com,22,4,1,0x00000001,1,0,0,0,,,
1956,32022.567487000,192.168.1.247,192.168.1.1,43,51176,53,0,,analytics.163.com,17,3,1,0x00000001,1,0,0,0,,,
1957,32022.568472000,192.168.1.247,192.168.1.1,42,61742,53,0,,crawl.ws.126.net,16,4,1,0x00000001,1,0,0,0,,,
1958,32022.571624000,192.168.1.1,192.168.1.247,59,53,51176,1,0,analytics.163.com,17,3,1,0x00000001,1,1,0,0,analytics.163.com,4,668
1959,32022.571625000,192.168.1.1,192.168.1.247,324,53,65375,1,0,img2.cache.netease.com,22,4,1,0x00000001,1,13,0,0,img2.cache.netease.com,34,182
1960,32022.572393000,192.168.1.247,192.168.1.1,41,62550,53,0,,img1.ph.126.net,15,4,1,0x00000001,1,0,0,0,,,
1961,32022.572394000,192.168.1.247,192.168.1.1,48,50813,53,0,,img1.cache.netease.com,22,4,1,0x00000001,1,0,0,0,,,
1962,32022.573147000,192.168.1.1,192.168.1.247,309,53,61742,1,0,crawl.ws.126.net,16,4,1,0x00000001,1,13,0,0,crawl.ws.126.net,31,265
1963,32022.577272000,192.168.1.1,192.168.1.247,324,53,50813,1,0,img1.cache.netease.com,22,4,1,0x00000001,1,13,0,0,img1.cache.netease.com,34,114
1964,32022.579896000,192.168.1.1,192.168.1.247,321,53,62550,1,0,img1.ph.126.net,15,4,1,0x00000001,1,14,0,0,img1.ph.126.net,13,199
1965,32022.582218000,192.168.1.247,192.168.1.1,35,58395,53,0,,g.163.com,9,3,1,0x00000001,1,0,0,0,,,
1966,32022.593889000,192.168.1.1,192.168.1.247,93,53,58395,1,0,g.163.com,9,3,1,0x00000001,1,2,0,0,g.163.com,30,206
1967,32022.597822000,192.168.1.247,192.168.1.1,47,56643,53,0,,cms-bucket.ws.126.net,21,4,1,0x00000001,1,0,0,0,,,
1968,32022.616029000,192.168.1.1,192.168.1.247,324,53,56643,1,0,cms-bucket.ws.126.net,21,4,1,0x00000001,1,13,0,0,cms-bucket.ws.126.net,36,295
1969,32022.672753000,192.168.1.247,192.168.1.1,38,49520,53,0,,auto.163.com,12,3,1,0x00000001,1,0,0,0,,,
1970,32022.673005000,192.168.1.247,192.168.1.1,38,58712,53,0,,baby.163.com,12,3,1,0x00000001,1,0,0,0,,,
1971,32022.676334000,192.168.1.247,192.168.1.1,37,64589,53,0,,biz.163.com,11,3,1,0x00000001,1,0,0,0,,,
1972,32022.677650000,192.168.1.1,192.168.1.247,129,53,49520,1,0,auto.163.com,12,3,1,0x00000001,1,3,0,0,auto.163.com,31,33
1973,32022.677651000,192.168.1.1,192.168.1.247,135,53,58712,1,0,baby.163.com,12,3,1,0x00000001,1,3,0,0,baby.163.com,37,2551
1974,32022.682856000,192.168.1.1,192.168.1.247,134,53,64589,1,0,biz.163.com,11,3,1,0x00000001,1,3,0,0,biz.163.com,37,4036
1975,32022.708057000,192.168.1.247,192.168.1.1,38,65309,53,0,,digi.163.com,12,3,1,0x00000001,1,0,0,0,,,
1976,32022.711471000,192.168.1.247,192.168.1.1,43,59219,53,0,,discovery.163.com,17,3,1,0x00000001,1,0,0,0,,,
1977,32022.711472000,192.168.1.247,192.168.1.1,41,53315,53,0,,img0.ph.126.net,15,4,1,0x00000001,1,0,0,0,,,
1978,32022.711876000,192.168.1.247,192.168.1.1,37,57298,53,0,,ent.163.com,11,3,1,0x00000001,1,0,0,0,,,
1979,32022.712884000,192.168.1.1,192.168.1.247,133,53,65309,1,0,digi.163.com,12,3,1,0x00000001,1,3,0,0,digi.163.com,35,268
1980,32022.714748000,192.168.1.1,192.168.1.247,140,53,59219,1,0,discovery.163.com,17,3,1,0x00000001,1,3,0,0,discovery.163.com,37,718
1981,32022.716023000,192.168.1.1,192.168.1.247,321,53,53315,1,0,img0.ph.126.net,15,4,1,0x00000001,1,14,0,0,img0.ph.126.net,13,41
1982,32022.717198000,192.168.1.1,192.168.1.247,132,53,57298,1,0,ent.163.com,11,3,1,0x00000001,1,3,0,0,ent.163.com,35,188
1983,32022.740235000,192.168.1.247,192.168.1.1,41,62522,53,0,,fashion.163.com,15,3,1,0x00000001,1,0,0,0,,,
1984,32022.742272000,192.168.1.247,192.168.1.1,38,53725,53,0,,gulu.163.com,12,3,1,0x00000001,1,0,0,0,,,
1985,32022.744147000,192.168.1.247,192.168.1.1,37,63213,53,0,,hea.163.com,11,3,1,0x00000001,1,0,0,0,,,
1986,32022.744247000,192.168.1.1,192.168.1.247,138,53,62522,1,0,fashion.163.com,15,3,1,0x00000001,1,3,0,0,fashion.163.com,37,1054
1987,32022.746240000,192.168.1.1,192.168.1.247,90,53,53725,1,0,gulu.163.com,12,3,1,0x00000001,1,2,0,0,gulu.163.com,24,86
1988,32022.749203000,192.168.1.1,192.168.1.247,85,53,63213,1,0,hea.163.com,11,3,1,0x00000001,1,2,0,0,hea.163.com,20,238
1989,32022.770496000,192.168.1.247,192.168.1.1,41,61517,53,0,,hongcai.163.com,15,3,1,0x00000001,1,0,0,0,,,
1990,32022.772474000,192.168.1.247,192.168.1.1,38,50349,53,0,,lady.163.com,12,3,1,0x00000001,1,0,0,0,,,
1991,32022.774748000,192.168.1.1,192.168.1.247,99,53,61517,1,0,hongcai.163.com,15,3,1,0x00000001,1,2,0,0,hongcai.163.com,30,334
1992,32022.776362000,192.168.1.247,192.168.1.1,35,54080,53,0,,m.163.com,9,3,1,0x00000001,1,0,0,0,,,
1993,32022.777679000,192.168.1.1,192.168.1.247,129,53,50349,1,0,lady.163.com,12,3,1,0x00000001,1,3,0,0,lady.163.com,31,887
1994,32022.781040000,192.168.1.1,192.168.1.247,118,53,54080,1,0,m.163.com,9,3,1,0x00000001,1,3,0,0,m.163.com,27,174
1995,32022.801777000,192.168.1.247,192.168.1.1,38,62993,53,0,,mail.163.com,12,3,1,0x00000001,1,0,0,0,,,
1996,32022.804699000,192.168.1.247,192.168.1.1,40,51774,53,0,,mobile.163.com,14,3,1,0x00000001,1,0,0,0,,,
1997,32022.806279000,192.168.1.1,192.168.1.247,107,53,62993,1,0,mail.163.com,12,3,1,0x00000001,1,4,0,0,mail.163.com,9,380
