frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
63,3.142873000,192.168.1.168,8.129.131.148,88,57335,53,0,,eVBSWEVCKzhXck1uY2lGNVVieUNDaUc4YUxSemxPNWdyUk1qNXdzWFFOdU.com,62,2,1,0x00000001,1,0,0,0,,,
64,3.184397000,8.129.131.148,192.168.1.168,88,53,57335,1,0,eVBSWEVCKzhXck1uY2lGNVVieUNDaUc4YUxSemxPNWdyUk1qNXdzWFFOdU.com,62,2,1,0x00000001,1,0,0,0,,,
65,3.184837000,192.168.1.168,8.129.131.148,88,57336,53,0,,0rWHpMakFhYXMwZ2doK3YwamVxVWllaGh1VUtOZjVVUjk2Q2NQOEZKS2o0.com,62,2,1,0x00000001,1,0,0,0,,,
66,3.225699000,8.129.131.148,192.168.1.168,88,53,57336,1,0,0rWHpMakFhYXMwZ2doK3YwamVxVWllaGh1VUtOZjVVUjk2Q2NQOEZKS2o0.com,62,2,1,0x00000001,1,0,0,0,,,
67,3.226187000,192.168.1.168,8.129.131.148,88,57337,53,0,,bWtHN0p4M2lkSVdhREZoREQ3bDZzdVF6Y01nMUg0NjE2VEhGc0tpaXpzTX.com,62,2,1,0x00000001,1,0,0,0,,,
68,3.263936000,8.129.131.148,192.168.1.168,88,53,57337,1,0,bWtHN0p4M2lkSVdhREZoREQ3bDZzdVF6Y01nMUg0NjE2VEhGc0tpaXpzTX.com,62,2,1,0x00000001,1,0,0,0,,,
69,3.264296000,192.168.1.168,8.129.131.148,52,57338,53,0,,B2OGZ4M2lLMzNwK3VqWFE9.com,26,2,1,0x00000001,1,0,0,0,,,
70,3.301056000,8.129.131.148,192.168.1.168,52,53,57338,1,0,B2OGZ4M2lLMzNwK3VqWFE9.com,26,2,1,0x00000001,1,0,0,0,,,
71,3.301491000,192.168.1.168,8.129.131.148,34,57339,53,0,,bnh0.com,8,2,16,0x00000001,1,0,0,0,,,
72,6.633241000,8.129.131.148,192.168.1.168,107,53,57339,1,0,bnh0.com,8,2,16,0x00000001,1,1,0,0,bnh0.com,61,60
