frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
57,2.342983000,192.168.34.182,192.168.32.1,55,56403,53,0,,cba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
58,2.380981000,192.168.32.1,192.168.34.182,323,53,56403,1,0,cba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,cba.stage.6334499.a.2rrrr.top,256,1
59,2.381933000,192.168.34.182,192.168.32.1,55,57724,53,0,,dba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
60,2.423584000,192.168.32.1,192.168.34.182,323,53,57724,1,0,dba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,dba.stage.6334499.a.2rrrr.top,256,1
61,2.424866000,192.168.34.182,192.168.32.1,55,61431,53,0,,eba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
62,2.463926000,192.168.32.1,192.168.34.182,323,53,61431,1,0,eba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,eba.stage.6334499.a.2rrrr.top,256,1
63,2.464935000,192.168.34.182,192.168.32.1,55,55060,53,0,,fba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
64,2.504465000,192.168.32.1,192.168.34.182,323,53,55060,1,0,fba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,fba.stage.6334499.a.2rrrr.top,256,1
65,2.506558000,192.168.34.182,192.168.32.1,55,53817,53,0,,gba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
66,2.546626000,192.168.32.1,192.168.34.182,323,53,53817,1,0,gba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,gba.stage.6334499.a.2rrrr.top,256,1
67,2.547714000,192.168.34.182,192.168.32.1,55,60151,53,0,,hba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
68,2.591957000,192.168.32.1,192.168.34.182,323,53,60151,1,0,hba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,hba.stage.6334499.a.2rrrr.top,256,1
69,2.593019000,192.168.34.182,192.168.32.1,55,57203,53,0,,iba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
70,2.638153000,192.168.32.1,192.168.34.182,323,53,57203,1,0,iba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,iba.stage.6334499.a.2rrrr.top,256,1
71,2.639162000,192.168.34.182,192.168.32.1,55,54213,53,0,,jba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
72,2.678082000,192.168.32.1,192.168.34.182,323,53,54213,1,0,jba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,jba.stage.6334499.a.2rrrr.top,256,1
73,2.679105000,192.168.34.182,192.168.32.1,55,56201,53,0,,kba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
74,2.726466000,192.168.32.1,192.168.34.182,323,53,56201,1,0,kba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,kba.stage.6334499.a.2rrrr.top,256,1
75,2.727423000,192.168.34.182,192.168.32.1,55,54528,53,0,,lba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
76,2.766634000,192.168.32.1,192.168.34.182,323,53,54528,1,0,lba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,lba.stage.6334499.a.2rrrr.top,256,1
77,2.767628000,192.168.34.182,192.168.32.1,55,65319,53,0,,mba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
78,2.805675000,192.168.32.1,192.168.34.182,323,53,65319,1,0,mba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,mba.stage.6334499.a.2rrrr.top,256,1
79,2.806733000,192.168.34.182,192.168.32.1,55,51657,53,0,,nba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
80,2.849776000,192.168.32.1,192.168.34.182,323,53,51657,1,0,nba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,nba.stage.6334499.a.2rrrr.top,256,1
81,2.850794000,192.168.34.182,192.168.32.1,55,61085,53,0,,oba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
82,2.889709000,192.168.32.1,192.168.34.182,323,53,61085,1,0,oba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,oba.stage.6334499.a.2rrrr.top,256,1
83,2.890661000,192.168.34.182,192.168.32.1,55,64425,53,0,,pba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
84,2.935863000,192.168.32.1,192.168.34.182,323,53,64425,1,0,pba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,pba.stage.6334499.a.2rrrr.top,256,1
85,2.936911000,192.168.34.182,192.168.32.1,55,63509,53,0,,qba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
86,2.990320000,192.168.32.1,192.168.34.182,323,53,63509,1,0,qba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,qba.stage.6334499.a.2rrrr.top,256,1
87,2.991395000,192.168.34.182,192.168.32.1,55,50251,53,0,,rba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
88,3.033373000,192.168.32.1,192.168.34.182,323,53,50251,1,0,rba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,rba.stage.6334499.a.2rrrr.top,256,1
89,3.034433000,192.168.34.182,192.168.32.1,55,60523,53,0,,sba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
90,3.076414000,192.168.32.1,192.168.34.182,323,53,60523,1,0,sba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,sba.stage.6334499.a.2rrrr.top,256,1
91,3.077553000,192.168.34.182,192.168.32.1,55,50005,53,0,,tba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
92,3.119416000,192.168.32.1,192.168.34.182,323,53,50005,1,0,tba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,tba.stage.6334499.a.2rrrr.top,256,1
93,3.120475000,192.168.34.182,192.168.32.1,55,63472,53,0,,uba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
94,3.161141000,192.168.32.1,192.168.34.182,323,53,63472,1,0,uba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,uba.stage.6334499.a.2rrrr.top,256,1
95,3.162244000,192.168.34.182,192.168.32.1,55,50475,53,0,,vba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
96,3.204166000,192.168.32.1,192.168.34.182,323,53,50475,1,0,vba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,vba.stage.6334499.a.2rrrr.top,256,1
97,3.205619000,192.168.34.182,192.168.32.1,55,65510,53,0,,wba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
98,3.244338000,192.168.32.1,192.168.34.182,323,53,65510,1,0,wba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,wba.stage.6334499.a.2rrrr.top,256,1
99,3.245475000,192.168.34.182,192.168.32.1,55,57549,53,0,,xba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
